Field=#~Integer~#~50|Field=Fitted~String~Fitted~100|Field=Description~String~Description~100|Field=Designator~String~Designator~100|Field=PartNumber~String~PartNumber~100|Field=Quantity~Integer~Quantity~100|Field=Manufacturer~String~Manufacturer~100|Field=PackageReference~String~PackageReference~100|Field=Value~String~Value~100|ReportField=Currency~USD|ReportField=ProductionQuantity~100|ReportField=ProjectFileName~BMS028B.PrjPcb|ReportField=ProjectFullPath~C:\Users\a0868763\TI Drive\BMS\MAXIMO2\Schematics\BoardFilesForWeb\sluc688\BQ76942EVM_BoardFiles\BQ76942EVM_Altium\BMS028B.PrjPcb|ReportField=Title~BOM (TI Designs format) For Variant [001] of Project [BMS028B.PrjPcb] (No PCB Document Selected)|ReportField=ReportTime~3:36:37 PM|ReportField=ReportDate~9/22/2020|ReportField=ReportDateTime~9/22/2020 3:36:37 PM|ReportField=OutputName~BOM (TI Designs format)|ReportField=OutputType~BOM_PartType|ReportField=GeneratorName~BOM|ReportField=GeneratorDescription~Bill of Materials|ReportField=VariantName~001|ReportField=TotalQuantity~230|ReportField=TotalActualPrice~0|ReportField=TotalTargetPrice~0|ReportField=VersionControl_RevNumber~|ReportField=VersionControl_ProjFolderRevNumber~|ReportField=EVM_Orderable~BQ76942EVM|ReportField=CopyrightYear~|ReportField=PCB_Layout~|ReportField=PCB_Rev~B|ReportField=PRJ_Customer~Public Release|ReportField=PRJ_Engineer~|ReportField=PRJ_Number~BMS028|ReportField=PRJ_Title~BQ76942EVM|ReportField=SCH_Rev~B|ReportField=TechSupport~|ReportField=TID~N/A|ReportField=Address1~Not shown in title block|ReportField=Address2~Not shown in title block|ReportField=Address3~Not shown in title block|ReportField=Address4~Not shown in title block|ReportField=Application_BuildNumber~|ReportField=ApprovedBy~Not shown in title block|ReportField=Author~Not shown in title block|ReportField=CheckedBy~Not shown in title block|ReportField=CompanyName~Not shown in title block|ReportField=ConfigurationParameters~|ReportField=ConfiguratorName~|ReportField=CurrentDate~9/22/2020|ReportField=CurrentTime~3:31:50 PM|ReportField=Date~Not shown in title block|ReportField=DocumentFullPathAndName~C:\Users\a0868763\TI Drive\BMS\MAXIMO2\Schematics\BoardFilesForWeb\sluc688\BQ76942EVM_BoardFiles\BQ76942EVM_Altium\BMS028B_FETs.SchDoc|ReportField=DocumentName~BMS028B_FETs.SchDoc|ReportField=DocumentNumber~3|ReportField=DrawnBy~M Sunna|ReportField=Engineer~Not shown in title block|ReportField=ImagePath~Not shown in title block|ReportField=IsUserConfigurable~|ReportField=ModifiedDate~9/22/2020|ReportField=Organization~Not shown in title block|ReportField=PageSetup~Record=PageOptions:CenterHorizontal=True:CenterVertical=True:PrintScale=1.00:XCorrection=1.00:YCorrection=1.00:PrintKind=0:BorderSize=5000000:LeftOffset=0:BottomOffset=0:Orientation=2:PaperLength=1000:PaperWidth=1000:Scale=100:PaperSource=15:PrintQuality=600:MediaType=1:DitherType=10:PaperKind=Letter:PrintScaleMode=1|ReportField=ProjectName~BMS028B.PrjPcb|ReportField=Revision~Use project parameter SCH_Rev|ReportField=Rule~|ReportField=SheetNumber~3|ReportField=SheetTotal~5|ReportField=Time~Not shown in title block|ReportField=Title~FETs|ReportField=VersionControl_ProjFolderRevNumber~|ReportField=VersionControl_RevNumber~|ReportField=DataSourceFileName~BMS028B.PrjPcb|ReportField=DataSourceFullPath~C:\Users\a0868763\TI Drive\BMS\MAXIMO2\Schematics\BoardFilesForWeb\sluc688\BQ76942EVM_BoardFiles\BQ76942EVM_Altium\BMS028B.PrjPcb|ReportField=PCBConfigurationName~Sources|ReportField=Item~|ReportField=ItemRevision~|ReportField=ItemAndRevision~|ReportField=ItemRevisionBase~|ReportField=ItemRevisionLevel1~|ReportField=ItemRevisionLevel2~|ReportField=ItemRevisionLevel1AndBase~|ReportField=ItemRevisionLevel2AndLevel1~
26|Fitted|Header, 2.54mm, 5x1, Tin, TH|J2, J18|PEC05SAAN|2|Sullins Connector Solutions|Header, 2.54mm, 5x1, TH|
27|Fitted|TERM BLOCK 3.5MM VERT 6POS PCB|J3|OSTTE060161|1|On Shore Technology|HDR6|
28|Fitted|Header, 100mil, 6x1, Tin, TH|J4|PEC06SAAN|1|Sullins Connector Solutions|TH, 6-Leads, Body 608x100mil, Pitch 100mil|
29|Fitted|Header, 2.54mm, 3x1, Gold, SMT|J5, J6, J8, J10, J12, J15|87898-0304|6|Molex|Header, 2.54mm, 3x1, SMT|
30|Fitted|Header, 100mil, 2x1, Tin, TH|J7, J9, J11, J14, J16, J17|PEC02SAAN|6|Sullins Connector Solutions|Header, 2 PIN, 100mil, Tin|
31|Fitted|Header (friction lock), 100mil, 4x1, R/A, TH|J13|22/05/3041|1|Molex|4x1 R/A Header|
32|Fitted|Header, 2.54mm, 10x2, Tin, TH|J19|PEC10DAAN|1|Sullins Connector Solutions|Header, 10x2, 2.54mm, TH|
33|Fitted|TERM BLOCK 3.5MM VERT 4POS PCB|J21|OSTTE040161|1|On Shore Technology|HDR4|
34|Fitted|Receptacle, Micro-USB Type B, 0.65 mm, 5x1, R/A, Bottom Mount SMT|J24|47346-1001|1|Molex|Receptacle, 0.65mm, 5x1, R/A, SMT|
35|Fitted|Header, 2.54 mm, 2x1, Gold, TH|J25|61300211121|1|Wurth Elektronik|Header, 2.54mm, 2x1, TH|
36|Fitted|Header, 2.54mm, 4x1, Tin, TH|J27|22284043|1|Molex|Header, 2.54mm, 4x1, TH|
37|Fitted|Transistor, NPN, 150 V, 1 A, AEC-Q101, SOT-89|Q1|FCX495TA|1|Diodes Inc.|SOT-89|150 V
38|Fitted|Transistor, PNP, 80 V, 0.5 A, SOT-23|Q4|MMBTA56LT1G|1|ON Semiconductor|SOT-23|80 V
39|Fitted|MOSFET, P-CH, -100 V, -0.6 A, SOT-23|Q5, Q6|ZXMP10A13FTA|2|Diodes Inc.|SOT-23|-100V
40|Fitted|MOSFET, N-CH, 100 V, 17 A, DNK0008A (VSON-CLIP-8)|Q8, Q9|CSD19532Q5B|2|Texas Instruments|DNK0008A|100V
41|Fitted|MOSFET, N-CH, 60 V, 0.31 A, SOT-323|Q10|2N7002KW|1|Fairchild Semiconductor|SOT-323|60V
42|Fitted|MOSFET, N-CH, 100 V, 1.9 A, SOT-23|Q11|PMV213SN,215|1|Nexperia|SOT-23|100V
43|Fitted|RES, 100, 5%, 0.1 W, AEC-Q200 Grade 0, 0603|R1, R21, R22, R41, R57|CRCW0603100RJNEA|5|Vishay-Dale|0603|100
44|Fitted|RES, 20.0, 1%, 0.25 W, AEC-Q200 Grade 0, 1206|R2, R5, R6, R9, R10, R11, R12, R14, R15, R16, R17|CRCW120620R0FKEA|11|Vishay-Dale|1206|20.0
45|Fitted|RES, 150, 5%, 1 W, AEC-Q200 Grade 0, 2512|R3, R7|CRCW2512150RJNEG|2|Vishay-Dale|2512|150
46|Fitted|RES, 10 k, 5%, 0.1 W, AEC-Q200 Grade 0, 0603|R18, R19, R23, R25, R27, R28, R29, R31, R67, R85, R86, R87|CRCW060310K0JNEA|12|Vishay-Dale|0603|10k
47|Fitted|RES, 100 k, 5%, 0.1 W, AEC-Q200 Grade 0, 0603|R20, R26|CRCW0603100KJNEA|2|Vishay-Dale|0603|100k
48|Fitted|RES, 0.001, 1%, 1 W, 1210|R24|PMR25HZPFV1L00|1|Rohm|1210|0.001
49|Fitted|RES, 200, 1%, 0.25 W, AEC-Q200 Grade 0, 1206|R30, R32, R33, R34, R35, R36, R37, R38, R39, R40|CRCW1206200RFKEA|10|Vishay-Dale|1206|200
